Date,Target,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,day_of_week,month,day_of_month
2018-04-09,-0.01938682716906742,0.0013233371228282451,-0.00016534072627758534,-0.0008565782839949941,0.009176736071730108,-0.0038615573922233673,0,4,9
2018-04-06,-0.019524979322906085,-0.009957555567056567,0.0013233371228282451,-0.00016534072627758534,-0.0008565782839949941,0.009176736071730108,4,4,6
2018-04-05,-0.02808143031087199,-0.0015453749983218104,-0.009957555567056567,0.0013233371228282451,-0.00016534072627758534,-0.0008565782839949941,3,4,5
2018-04-04,-0.020876019392616987,0.002205360780480365,-0.0015453749983218104,-0.009957555567056567,0.0013233371228282451,-0.00016534072627758534,2,4,4
2018-04-03,-0.015556060376219195,-0.023254623449215042,0.002205360780480365,-0.0015453749983218104,-0.009957555567056567,0.0013233371228282451,1,4,3
2018-03-29,-0.014850514188945969,-0.0005048181801932069,-0.023254623449215042,0.002205360780480365,-0.0015453749983218104,-0.009957555567056567,3,3,29
2018-03-28,-0.0008193864149189534,0.0037126286781822755,-0.0005048181801932069,-0.023254623449215042,0.002205360780480365,-0.0015453749983218104,2,3,28
2018-03-27,0.008694773157717434,-0.0016835271521604804,0.0037126286781822755,-0.0005048181801932069,-0.023254623449215042,0.002205360780480365,1,3,27
2018-03-26,0.022143340443054067,-0.006351090207485536,-0.0016835271521604804,0.0037126286781822755,-0.0005048181801932069,-0.023254623449215042,0,3,26
2018-03-23,0.034391949002179956,-0.01604921253096004,-0.006351090207485536,-0.0016835271521604804,0.0037126286781822755,-0.0005048181801932069,4,3,23
2018-03-22,0.026564910315154375,0.004815140836204583,-0.01604921253096004,-0.006351090207485536,-0.0016835271521604804,0.0037126286781822755,3,3,22
2018-03-21,0.013226589728841363,0.0044181748654555045,0.004815140836204583,-0.01604921253096004,-0.006351090207485536,-0.0016835271521604804,2,3,21
2018-03-20,0.01091697139146145,0.012347600621866534,0.0044181748654555045,0.004815140836204583,-0.01604921253096004,-0.006351090207485536,1,3,20
2018-03-19,0.024104650871899856,0.0031630693651508524,0.012347600621866534,0.0044181748654555045,0.004815140836204583,-0.01604921253096004,0,3,19
2018-03-16,0.008391385466666387,-0.002600645245623406,0.0031630693651508524,0.012347600621866534,0.0044181748654555045,0.004815140836204583,4,3,16
2018-03-15,0.008851762461203973,0.01706374939533047,-0.002600645245623406,0.0031630693651508524,0.012347600621866534,0.0044181748654555045,3,3,15
2018-03-14,0.0035198171048251865,-0.0034088638215700744,0.01706374939533047,-0.002600645245623406,0.0031630693651508524,0.012347600621866534,2,3,14
2018-03-13,0.0011158145097753245,-0.000990719964446479,-0.0034088638215700744,0.01706374939533047,-0.002600645245623406,0.0031630693651508524,1,3,13
2018-03-12,-0.013785968407405513,0.0008534510277709392,-0.000990719964446479,-0.0034088638215700744,0.01706374939533047,-0.002600645245623406,0,3,12
2018-03-09,-0.021633076092526793,0.010587034234815001,0.0008534510277709392,-0.000990719964446479,-0.0034088638215700744,0.01706374939533047,4,3,9
2018-03-08,-0.003838968528377,0.0013504839900969996,0.010587034234815001,0.0008534510277709392,-0.000990719964446479,-0.0034088638215700744,3,3,8
2018-03-07,0.010294918840625018,-0.002948486827032488,0.0013504839900969996,0.010587034234815001,0.0008534510277709392,-0.000990719964446479,2,3,7
2018-03-06,0.018809636139496908,-0.006322665320825265,-0.002948486827032488,0.0013504839900969996,0.010587034234815001,0.0008534510277709392,1,3,6
2018-03-05,0.02410297196023594,-0.0015505515672789238,-0.006322665320825265,-0.002948486827032488,0.0013504839900969996,0.010587034234815001,0,3,5
2018-03-02,0.0243838014469779,-0.004314748682365836,-0.0015505515672789238,-0.006322665320825265,-0.002948486827032488,0.0013504839900969996,4,3,2
2018-03-01,0.01063911344067214,-0.00649662369502428,-0.004314748682365836,-0.0015505515672789238,-0.006322665320825265,-0.002948486827032488,3,3,1
2018-02-28,0.006843319975947097,0.014845620737117305,-0.00649662369502428,-0.004314748682365836,-0.0015505515672789238,-0.006322665320825265,2,2,28
2018-02-27,-0.004911491700855254,0.007811222048176754,0.014845620737117305,-0.00649662369502428,-0.004314748682365836,-0.0015505515672789238,1,2,27
2018-02-26,-0.005767273044020421,0.006964165731592967,0.007811222048176754,0.014845620737117305,-0.00649662369502428,-0.004314748682365836,0,2,26
2018-02-23,0.006917920087700166,0.0009785871383731976,0.006964165731592967,0.007811222048176754,0.014845620737117305,-0.00649662369502428,4,2,23
2018-02-22,-0.0024269712061855946,-0.006215794208282324,0.0009785871383731976,0.006964165731592967,0.007811222048176754,0.014845620737117305,3,2,22
2018-02-21,-0.009327074405958643,0.0011009327308115458,-0.006215794208282324,0.0009785871383731976,0.006964165731592967,0.007811222048176754,2,2,21
2018-02-20,-0.010927781591969818,0.004015428583451712,0.0011009327308115458,-0.006215794208282324,0.0009785871383731976,0.006964165731592967,1,2,20
2018-02-19,-0.009788829696116387,-0.0047906459452093835,0.004015428583451712,0.0011009327308115458,-0.006215794208282324,0.0009785871383731976,0,2,19
2018-02-16,-0.028120038999936085,0.00012280579520803072,-0.0047906459452093835,0.004015428583451712,0.0011009327308115458,-0.006215794208282324,4,2,16
2018-02-15,-0.008902214217555661,0.006469398923438263,0.00012280579520803072,-0.0047906459452093835,0.004015428583451712,0.0011009327308115458,3,2,15
2018-02-14,0.009031764812912456,-0.008243958563074215,0.006469398923438263,0.00012280579520803072,-0.0047906459452093835,0.004015428583451712,2,2,14
2018-02-13,-0.003719235198939486,-0.0028846746163213362,-0.008243958563074215,0.006469398923438263,0.00012280579520803072,-0.0047906459452093835,1,2,13
2018-02-12,0.02176485648619081,-0.006391353131220558,-0.0028846746163213362,-0.008243958563074215,0.006469398923438263,0.00012280579520803072,0,2,12
2018-02-09,0.04830374604099119,0.0012617576910614614,-0.006391353131220558,-0.0028846746163213362,-0.008243958563074215,0.006469398923438263,4,2,9
2018-02-08,0.043618981308535344,-0.011861810380381435,0.0012617576910614614,-0.006391353131220558,-0.0028846746163213362,-0.008243958563074215,3,2,8
2018-02-07,0.0343151895534107,0.01097386621930621,-0.011861810380381435,0.0012617576910614614,-0.006391353131220558,-0.0028846746163213362,2,2,7
2018-02-06,0.06065658076664837,0.01504930441414678,0.01097386621930621,-0.011861810380381435,0.0012617576910614614,-0.006391353131220558,1,2,6
2018-02-05,0.04486138903539638,-0.0191423531430725,0.01504930441414678,0.01097386621930621,-0.011861810380381435,0.0012617576910614614,0,2,5
2018-02-02,0.029403195827519876,0.026745849376191757,-0.0191423531430725,0.01504930441414678,0.01097386621930621,-0.011861810380381435,4,2,2
2018-02-01,0.016609423265559628,0.014677079174418949,0.026745849376191757,-0.0191423531430725,0.01504930441414678,0.01097386621930621,3,2,1
2018-01-31,0.01448007705033379,0.00628910148685036,0.014677079174418949,0.026745849376191757,-0.0191423531430725,0.01504930441414678,2,1,31
2018-01-30,0.018780158226320804,0.00574551265902214,0.00628910148685036,0.014677079174418949,0.026745849376191757,-0.0191423531430725,1,1,30
2018-01-29,0.005707441971603518,0.00719903807016517,0.00574551265902214,0.00628910148685036,0.014677079174418949,0.026745849376191757,0,1,29
2018-01-26,0.008476096661015963,0.010950657644939773,0.00719903807016517,0.00574551265902214,0.00628910148685036,0.014677079174418949,4,1,26
2018-01-25,0.011114707547967942,-0.0007811140334575638,0.010950657644939773,0.00719903807016517,0.00574551265902214,0.00628910148685036,3,1,25
2018-01-24,0.01067102935625911,-0.0065046710751098915,-0.0007811140334575638,0.010950657644939773,0.00719903807016517,0.00574551265902214,2,1,24
2018-01-23,0.003112137513947533,0.003616166443796304,-0.0065046710751098915,-0.0007811140334575638,0.010950657644939773,0.00719903807016517,1,1,23
2018-01-22,0.006935960197962924,0.011499119246152184,0.003616166443796304,-0.0065046710751098915,-0.0007811140334575638,0.010950657644939773,0,1,22
2018-01-19,0.006170459110648748,-0.0021220586097775137,0.011499119246152184,0.003616166443796304,-0.0065046710751098915,-0.0007811140334575638,4,1,19
2018-01-18,0.00801613200992482,0.0019875406559548827,-0.0021220586097775137,0.011499119246152184,0.003616166443796304,-0.0065046710751098915,3,1,18
2018-01-17,0.0029830821517100054,-0.0038660601881579143,0.0019875406559548827,-0.0021220586097775137,0.011499119246152184,0.003616166443796304,2,1,17
2018-01-16,-0.0032169047464746378,0.0031724882520874718,-0.0038660601881579143,0.0019875406559548827,-0.0021220586097775137,0.011499119246152184,1,1,16
2018-01-15,-0.00939249678412312,0.003940227403840608,0.0031724882520874718,-0.0038660601881579143,0.0019875406559548827,-0.0021220586097775137,0,1,15
2018-01-12,-0.0070206688996768095,0.001701764074237878,0.003940227403840608,0.0031724882520874718,-0.0038660601881579143,0.0019875406559548827,4,1,12
2018-01-11,-0.00867600769666758,0.001222039568640706,0.001701764074237878,0.003940227403840608,0.0031724882520874718,-0.0038660601881579143,3,1,11
